Acc_LFP,Acc_MUAe,Cohen_LFP,Cohen_MUAe,Birds_Name,Sex_Birds,Song_Number,Order_Parts,Depth_Record,Session_Number
76.7123287671233,70.7762557077626,0.537726087496378,0.412966996146758,M2,1,4,2,2,3
79.0513833992095,67.1936758893281,0.541211893112533,0.307580703663402,M2,1,9,2,2,3
67.0682730923695,64.2570281124498,0.372603244837758,0.206977992485239,M2,1,7,2,2,3
69.2640692640693,71.8614718614719,0.378679395385839,0.436564223798266,M2,1,5,2,2,3
80.6122448979592,66.3265306122449,0.578711850771784,0.285531935784771,M2,1,10,2,2,3
79.4466403162055,71.5415019762846,0.566980448950036,0.370820668693009,M2,1,9,2,2,3
76.0869565217391,69.5652173913043,0.529618344264835,0.379476473422194,M2,1,1,2,2,3
75.5868544600939,69.4835680751174,0.508999024736236,0.37151028190113,M2,1,2,2,2,3
81.9277108433735,76.7068273092369,0.621235168846973,0.479680069174233,M2,1,7,2,2,3
75.3246753246753,71.4285714285714,0.504608901764551,0.432516935904116,M2,1,5,2,2,3
65.5813953488372,68.8372093023256,0.339450303080628,0.382475243280319,M2,1,8,2,2,3
86.7595818815331,74.2160278745645,0.720874283374283,0.421812043994337,M2,1,6,2,2,3
64.7826086956522,62.1739130434783,0.251506629168341,0.172114191146049,M2,1,3,2,2,3
82.6530612244898,71.7687074829932,0.610525222089459,0.326989905675989,M2,1,10,2,2,3
65.5813953488372,61.3953488372093,0.357067808938818,0.28364979326402,M2,1,8,2,2,3
79.2207792207792,61.9047619047619,0.586422976501305,0.25,M2,1,5,3,2,3
83.0985915492958,71.830985915493,0.659381663113006,0.416811170940951,M2,1,2,3,2,3
90.1185770750988,70.7509881422925,0.792193711601012,0.374724467303453,M2,1,9,3,2,3
78.695652173913,70,0.570011446012972,0.378864970645792,M2,1,3,3,2,3
85.8447488584475,76.2557077625571,0.714519994953955,0.516884439165111,M2,1,4,3,2,3
88.4057971014493,67.3913043478261,0.767444309863605,0.333583731287224,M2,1,1,3,2,3
87.8048780487805,77.0034843205575,0.747530600447382,0.527772237734344,M2,1,6,3,2,3
77.891156462585,68.7074829931973,0.519583689476595,0.347580684065802,M2,1,10,3,2,3
76.4492753623188,71.0144927536232,0.516129032258065,0.416582994239814,M2,1,1,3,2,3
80.8695652173913,80.4347826086957,0.61608497723824,0.594911937377691,M2,1,3,3,2,3
78.3132530120482,62.6506024096386,0.557726465364121,0.261269020958943,M2,1,7,3,2,3
72.6027397260274,63.4703196347032,0.440755873340143,0.251921434671221,M2,1,4,3,2,3
78.8732394366197,73.2394366197183,0.577250474132228,0.443047846231479,M2,1,2,3,2,3
78.1395348837209,65.5813953488372,0.572853700807372,0.315050800757706,M2,1,8,3,2,3
81.8815331010453,73.1707317073171,0.604892512972572,0.446376230678658,M2,1,6,3,2,3
89.4557823129252,67.687074829932,0.768079800498753,0.265347993055921,M2,1,10,3,2,3
88.3116883116883,65.8008658008658,0.766448230668414,0.326878388845856,M2,1,5,3,2,3
87.6712328767123,77.1689497716895,0.748543482883266,0.542835671342685,M2,1,4,3,2,3
73.8675958188153,71.0801393728223,0.498333605239238,0.340996486568733,M2,1,6,4,2,3
64.3192488262911,72.3004694835681,0.291057195410353,0.425928463752227,M2,1,2,4,2,3
64.6586345381526,60.2409638554217,0.349367539640121,0.113879003558719,M2,1,7,4,2,3
75.3488372093023,60.9302325581395,0.516976813191471,0.243971868720697,M2,1,8,4,2,3
83.3333333333333,72.4489795918367,0.643574644960166,0.365602855772817,M2,1,10,4,2,3
75,64.1304347826087,0.498842105263158,0.260394110004331,M2,1,1,4,2,3
83.7944664031621,64.4268774703557,0.651643886220909,0.228187919463087,M2,1,9,4,2,3
75.5868544600939,69.0140845070423,0.505976806422837,0.369087155551566,M2,1,2,4,2,3
86.7579908675799,66.2100456621005,0.727717041800643,0.30007774034724,M2,1,4,4,2,3
76.9565217391304,72.6086956521739,0.532771176696052,0.44715757344525,M2,1,3,4,2,3
93.1972789115646,74.1496598639456,0.852476290832455,0.41839762611276,M2,1,10,4,2,3
82.7309236947791,77.1084337349398,0.636521030654853,0.465604879701796,M2,1,7,4,2,3
64.1860465116279,59.0697674418605,0.31548480463097,0.212323064113239,M2,1,8,4,2,3
86.0627177700349,72.8222996515679,0.71004243281471,0.409371537122052,M2,1,6,4,2,3
85.8695652173913,66.304347826087,0.711389961389961,0.294292312768063,M2,1,1,4,2,3
82.6086956521739,70.3557312252965,0.636232925952552,0.387646432374867,M2,1,9,4,2,3
85.2813852813853,72.7272727272727,0.705047318611988,0.459859703819174,M2,1,5,4,2,3
73.953488372093,65.5813953488372,0.498751040799334,0.332129963898917,M2,1,8,4,2,3
84.9802371541502,73.9130434782609,0.678912564290962,0.43188622754491,M2,1,9,5,2,3
86.3453815261044,75.5020080321285,0.699082960119428,0.463722063340748,M2,1,7,5,2,3
73.4782608695652,72.1739130434783,0.463479923518164,0.428571428571429,M2,1,3,5,2,3
85.9154929577465,76.9953051643192,0.714986619090098,0.534000089297674,M2,1,2,5,2,3
68.4782608695652,65.5797101449275,0.349268292682927,0.283449934411893,M2,1,1,5,2,3
81.5331010452962,68.6411149825784,0.615174437726111,0.311420345489443,M2,1,6,5,2,3
89.6103896103896,70.5627705627706,0.792343995804929,0.41287284144427,M2,1,5,5,2,3
86.3013698630137,69.4063926940639,0.725265534833152,0.357321186106609,M2,1,4,5,2,3
90.4761904761905,74.8299319727891,0.790096384313326,0.414184931875707,M2,1,10,5,2,3
73.9130434782609,66.304347826087,0.480959097320169,0.330725907384231,M2,1,1,5,2,3
75.609756097561,67.595818815331,0.494234932782841,0.253544760466482,M2,1,6,5,2,3
73.9130434782609,67.9841897233202,0.463983050847458,0.329132157003961,M2,1,9,5,2,3
76.1904761904762,70.0680272108844,0.495810671762458,0.345642167029187,M2,1,10,5,2,3
66.5217391304348,67.8260869565217,0.351044338585562,0.365871833084948,M2,1,3,5,2,3
71.0843373493976,73.4939759036145,0.407847800237812,0.410587475790833,M2,1,7,5,2,3
66.9767441860465,59.5348837209302,0.328509215677649,0.234938034275431,M2,1,8,5,2,3
64.5021645021645,65.3679653679654,0.30221763795771,0.308900523560209,M2,1,5,5,2,3
88.1278538812785,70.7762557077626,0.758052179824934,0.410150660718795,M2,1,4,5,2,3
61.9718309859155,50.2347417840376,0.282709017586164,0.0763377515954836,F3,2,2,1,2,4
87.8260869565217,77.8260869565217,0.75287797390637,0.551434034416826,F3,2,3,1,2,4
93.9393939393939,82.6839826839827,0.878357030015798,0.654811715481172,F3,2,5,1,2,4
77.0750988142292,84.9802371541502,0.537126995142262,0.69029057406095,F3,2,9,1,2,4
87.4564459930314,73.5191637630662,0.740740740740741,0.408279529054311,F3,2,6,1,2,4
