SessionITPCz,SongITPCz,BirdsITPCz,SexITPCz,Perf_SessionSong,Delta_ITPCz,Theta_ITPCz,Alpha_ITPCz,Beta_ITPCz,Gamma_ITPCz
5,2,M1,1,0.202102803946892,0.417260782581783,0.554290539836089,0.500648585975167,0.970879895730832,0.521684649341132
6,2,F1,2,0.00438147535665873,0.32639640180052,0.431433222590725,0.474914578153708,0.290683493861523,0.30878636380698
7,2,M1,1,0.260933987973778,0.39645639482867,0.834752954000354,0.7415636265776,1.01926898254557,0.483917925539314
8,2,M2,1,0.578080251079533,0.55656343970473,2.51538827847485,3.01836012625112,3.38358870985028,1.94868630613632
9,2,M1,1,0.395847047190023,0.731497128954282,2.00689229143369,1.46000452818254,2.40166354685341,0.835338328450412
10,2,M2,1,0.672926284780483,0.444425624832542,1.95872284817545,2.66282383207701,2.78851181560717,1.91375986691272
11,2,M2,1,0.56110644462391,0.633967210418803,1.5075315229189,2.50981171193025,2.40456055160672,1.53979122904353
12,2,F1,2,0.0279792554519775,0.333650149223955,0.334951605642847,0.306330500518998,0.234273633401754,0.225950059060077
13,2,F1,2,0.0677716741147066,0.545083562329185,0.650622596055093,0.621066147837884,0.648162691156648,0.590014367679784
14,2,M1,1,0.373987319039759,0.634945209477197,0.996892809645505,2.07926371009169,2.89072250676793,1.40452396684384
15,2,M2,1,0.475519515077337,0.771996753067312,1.99143061480486,2.85389912582365,3.27948725696461,1.4584016265784
16,2,F3,2,0.383977743404047,0.512787245721974,0.629201948643656,1.31083990006286,1.50488644918013,0.9157145336183
17,2,M1,1,0.438077325810737,0.736391117989983,1.88753656374678,1.51139822715109,2.90020222373836,1.08365665030537
18,2,F1,2,0.174193836508359,0.370537736672629,0.905363910357831,1.12409684066793,0.909420845329198,0.562843368749889
19,2,M3,1,0.356409266161631,0.241252256075545,0.873219249289181,1.96112875663786,4.53623442070728,1.7436835116842
20,2,M2,1,0.421098318488333,0.665638978091271,1.44016742858568,1.84230283232629,2.50877233437433,1.28548015198699
21,2,F3,2,0.302763567920595,0.493145577099378,0.422963509525589,0.759023701376095,0.763281191534517,1.1467111681379
22,2,F1,2,0.0764396177385482,0.612548991934165,0.966876173376069,0.447659351585647,0.518592369995214,0.566573509363031
23,2,M2,1,0.37385363502126,0.375544601392806,1.46836079700764,2.49116903013326,2.47657515815168,1.19684637590219
24,2,F1,2,0.181615619416401,0.667476678348683,1.02006538631548,1.08745555539951,0.812549448974988,0.731224891617143
25,2,M2,1,0.252152125128655,0.424293921577936,0.455457970140353,0.467244795527408,0.420338009996089,0.3734717756462
26,2,F3,2,0.267267711941277,1.38846476211696,1.78468740371325,0.797541817762189,0.773963712784711,0.795996229133217
27,2,F1,2,0.354828278990546,1.00974974574519,1.3018314350158,1.37389908706566,1.10742652831053,1.02610356617372
28,2,M3,1,0.54416257869271,0.625225997342913,1.14768667149041,1.25388969813305,2.35009799124441,1.33438085077803
29,2,M2,1,0.303567280839,0.34900112729039,0.342782850479567,0.801787398976789,1.21207009701115,0.565475745456889
30,2,F3,2,0.279593003983572,0.38522946691414,0.818442068918613,0.673351350454159,0.61838887760666,0.874618159872467
