Session,Birds,Sex,BaseLine_Perf,Delta_Perf,Theta_Perf,Alpha_Perf,Beta_Perf,Gamma_Perf,D_T_Perf,D_A_Perf,D_B_Perf,D_G_Perf,T_A_Perf,T_B_Perf,T_G_Perf,A_B_Perf,A_G_Perf,B_G_Perf
26,3,2,76.7268796148543,71.5579212680031,67.5406024074025,69.1737281496019,65.3653083955225,75.519306476513,64.5592943384381,66.9732034598268,63.2365860889297,71.8592208215979,61.7890921467219,58.8957306241038,67.1603109414006,59.904921753269,68.1807476219524,67.1099725001832
27,1,2,83.0397839442321,77.7855057402331,73.6020069548047,73.056880490158,74.1718094896155,82.2741655321962,66.7192260937142,68.7746007281067,68.7969103282898,77.1186525650012,65.0161925122067,65.5138275572236,72.6637162151057,65.0653922339721,73.8898313852005,71.6923267815052
28,3,1,87.5454931474906,81.4915550451044,72.750864294865,78.0420191284271,82.1764310880457,86.8015041185698,65.8973405284844,70.9714627040321,76.1198242792246,80.5185381420131,62.7163679673044,67.7330643240224,72.5583580077735,71.3980206991098,77.1079995918223,81.080216991183
29,2,1,81.294611143788,75.1547014651825,73.1876992134514,75.5223635004029,70.0160276634934,78.7988346184826,67.3549478707992,71.3707332973875,65.3863131479372,73.2177172004385,67.0920192886519,61.7545874685676,69.9163840839123,64.9566102274757,73.0336163565972,67.2582011275172
30,3,2,83.8071288145721,78.2111977752231,75.4404789418999,76.5677041483932,70.2643715529582,81.4219123084637,70.1260483803582,72.25292665363,65.3634121933295,75.8394859386887,69.3429598959279,63.9486367748069,73.0218128584476,61.2279111284919,73.5866325282699,68.5763787925197
31,1,1,79.3358556649897,75.9116000601299,70.833979062822,67.1783934097376,74.6253025343886,78.8864566354188,66.793533289925,64.9684632053719,71.4513384310968,75.9517567569506,59.6755099293628,66.6846608166557,71.5443668688091,58.1621885286403,67.5629900964359,73.7819873756109
32,1,2,77.8745842352956,72.6027350764284,71.1497719186642,70.6370421340988,69.7245336948291,73.9663388739762,66.4130400418411,65.9994869560984,63.4164245509691,69.0918361930578,66.248835486717,64.7264181308394,69.6327892427231,63.0790814438359,66.6438641424819,64.8106619512369
33,3,1,84.9534226790465,81.3406592371831,74.3185048611255,76.8597226464883,79.2537014948046,83.8042988594532,69.4097261308587,73.2646124145371,75.3777735264494,80.3321034531759,66.6017340051993,68.6703618661977,74.1528574736023,69.4549202111134,76.6336348830183,77.9718691251328
34,2,1,75.7010891154959,69.0459417855542,69.2443355713835,71.0310167709786,68.0800126942577,74.1826975023429,62.3101828134838,64.5115499078935,63.5680821940593,67.6498342626927,62.5503182908133,60.7145450141032,67.8544413369492,61.7973083284905,70.182497776332,67.5799053799867
35,2,1,70.9973390269671,64.7374620891878,63.9678405330333,67.6126774561182,66.5313391490724,70.1480348176103,59.3910172375162,61.3906450660758,60.2440660438425,63.9499674796849,60.9482410326588,60.396683358427,64.0416348043867,62.1052175187277,66.4247208757062,67.1384188264433
36,3,2,67.4984766338276,63.4950364303798,59.9672848996168,62.1282549150449,62.9780601108502,67.4250290191196,56.7183442440398,61.1306330389849,61.8372601656309,62.6930722633679,54.9884743035835,57.6397092397975,58.5174386281652,60.0386713673983,63.3826433497967,64.1389574174452
37,1,2,74.2292831205861,72.1564436647288,67.7852114117831,68.6620023129003,67.4948228546556,72.6759759140022,64.6285224799909,65.1607942491039,63.6875401055806,69.2289106897313,63.1331283272332,62.9051885457467,67.2987747385189,62.4217712633125,66.4217695574748,65.6273798841108
38,3,1,82.9821951316769,77.3053349482288,70.8166876900104,73.2241871629719,78.3917783416778,81.5072577626436,65.8680478449025,69.4967688180727,73.6289393799491,77.2895141175992,62.609020200334,66.7895835110254,70.0552564985749,69.6703025599083,73.4307028156009,76.8547214711608
39,1,1,87.3453428670306,82.0686237962669,76.8741764566971,78.4867953485803,80.8348499894611,85.7476326841873,69.8251126557717,72.6520587799088,73.7130500335475,80.4825013225448,66.1168555139125,67.5313775679442,74.8369928842704,68.2127987046073,76.3472810430174,78.7596163980839
40,1,2,70.5664793393959,64.8723834797487,62.9088024572289,65.0150883290655,66.8872482262291,69.9469602207236,58.1550665469815,60.7315902727375,61.995125384644,64.2463695237919,59.5017632583735,59.5394715944465,62.6375845111455,62.8956387204761,63.9749361671536,64.9149792841909
41,2,1,67.7732837512946,62.2855920053746,61.1002542947199,65.1322152532152,66.2602036325727,66.5992418432274,56.4320432934294,59.899103630855,60.4238115347909,61.0339597294894,58.0847593281232,59.4287750024485,59.0556088096819,63.8256791647853,64.9058885485143,64.8823429374897
42,2,2,84.4155155638359,80.3000149500474,74.9118091075166,75.4409506373342,76.3753703122917,83.338441744144,66.9193921192768,70.5759054752972,73.0212768417995,79.3835036966853,64.7828733068591,67.6937204972671,73.2655919081987,63.3410061069395,72.8787389964665,75.9552106038601
43,1,2,77.2061237622865,72.6086667203706,70.5760099061255,70.4743380097576,71.8908929997412,75.4992057525411,63.2294950563292,64.9689080999003,66.1529204327587,72.534902475416,64.5397854050698,63.3934094029001,68.9490940773011,64.694457205028,69.8350130629122,69.3027235396636
44,1,1,86.2875208659921,78.2627086482931,77.484439952914,81.183851539888,77.939314619659,84.564978993791,66.828816471055,74.01399205965,71.5680475671461,76.4902867025403,71.2478819845104,68.9821463531746,74.639449501176,67.9259351655755,77.8940721914446,74.8099615273283
45,2,2,72.9337028152117,69.2975629576807,63.1113623159354,69.3060876526065,68.568138123688,71.1762952444125,61.3039256410919,66.4240199425058,64.8100094884765,67.2486765358171,57.5769947486262,60.1867809322322,63.7648840011477,63.8089039089807,68.7405191424229,66.2281590811083
46,4,1,90.7916867570039,83.0586064676039,75.8596617255177,81.297961386848,80.5162826592552,88.2282258216339,69.0827613274234,76.2584721161679,75.6470088795604,83.3129256144616,66.3993374848507,66.1458858436405,75.821839056515,71.7093145977049,81.8871684783543,78.489403657084
47,4,1,86.4262761296418,80.4049800248882,76.9277788420881,79.5555822966191,73.4382052784448,84.2463875020803,70.7991236289016,74.4661652345041,69.2051132020145,79.0139701019692,71.6252200745395,66.8789356968002,75.4766276076219,65.2112539867354,77.1087694155886,69.4787942804967
48,4,1,85.5977503346385,78.1383793266835,75.3331416229358,79.9341227380027,74.740300005326,83.1335114772883,68.1310319705851,73.2957241114019,70.1298444031698,77.1367617900379,68.6771107139325,66.3676938398485,73.791232208646,70.2492383779424,76.5509971861854,70.967469185206
49,4,1,85.4971627475907,79.4155039360197,74.1584773229224,79.2395024179824,75.5395548716968,83.1118006461637,67.4773717018135,74.0479183311506,72.0172648000317,78.7133447626128,68.3477056370948,66.2827820218114,71.4462478131184,68.6648588556381,77.5207243024145,72.0011333639773
50,4,1,81.7485140239544,77.7538905339861,71.9962009780189,75.8121080429138,69.6094984191378,79.0914820107572,69.329458341554,73.1449040469352,69.7487883574165,76.4478290312411,67.1316688158883,61.2468556119382,70.2411881544631,62.0184281829686,73.1345609916716,65.9876737485813
51,4,1,75.0490327002015,72.0723654497896,66.0411725718368,69.98370251311,65.5924777457303,74.0544414108239,64.8860003995984,68.2029004291663,63.3977519608104,70.7937473239279,61.2611214640423,58.0631203904262,64.7796747703608,62.0145819909406,67.6201732701787,63.9258057251344
