Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
28,3,0.842779536535193,0.801095828030453,M3,1,4
28,4,0.630230684383343,0.63446439449468,M3,1,4
28,5,0.585954180121255,0.624345240367125,M3,1,4
29,1,0.511310676116658,0.448957187689649,M2,1,4
29,2,0.593158988127909,0.485702983640281,M2,1,4
29,3,0.651505476260684,0.491251592948467,M2,1,4
29,4,0.644096747622482,0.464793372894633,M2,1,4
29,5,0.687184865585739,0.493527225541018,M2,1,4
30,1,0.557850416197874,0.523838029629405,F3,2,4
30,2,0.723879824613607,0.612793535027436,F3,2,4
30,3,0.691304138262635,0.672978358067075,F3,2,4
30,4,0.687845658293465,0.636095377236057,F3,2,4
30,5,0.674785683046282,0.599005869432062,F3,2,4
31,1,0.754765094603401,0.766679744863984,M1,1,4
31,2,0.442444966883395,0.498210490588805,M1,1,4
31,3,0.435728436113922,0.794917108662704,M1,1,4
31,4,0.519623918724491,0.785214726231883,M1,1,4
31,5,0.732614438660459,0.758576130239821,M1,1,4
32,1,0.565183332964009,0.450829626446835,F1,2,4
32,2,0.580754171732789,0.403713383592248,F1,2,4
32,3,0.493675084722196,0.390458608924264,F1,2,4
32,4,0.540693011228017,0.466163841644553,F1,2,4
32,5,0.528738863151435,0.409985913702219,F1,2,4
33,1,0.623206330786952,0.628350608186145,M3,1,4
33,2,0.608830653291237,0.676087442223113,M3,1,4
33,3,0.676452204540746,0.666803531962905,M3,1,4
33,4,0.762141118111294,0.784530393119886,M3,1,4
33,5,0.787905887407276,0.768890394238116,M3,1,4
34,1,0.561124407828846,0.414958109620755,M2,1,4
34,2,0.321499927577102,0.290949736065481,M2,1,4
34,3,0.51821728142144,0.41536283909006,M2,1,4
34,4,0.58046369579658,0.344298398560199,M2,1,4
34,5,0.533078121382328,0.320858897619705,M2,1,4
35,1,0.461418389414179,0.271092666143415,M2,1,4
35,2,0.381626300519525,0.278590201788142,M2,1,4
35,3,0.334505502981244,0.25970055732393,M2,1,4
35,4,0.415630965584683,0.298462389661196,M2,1,4
35,5,0.417136616065519,0.249741072960484,M2,1,4
36,1,0.342473520433027,0.443665307626734,F3,2,4
36,2,0.332513809321913,0.490332560697053,F3,2,4
36,3,0.327973785813479,0.437416405512638,F3,2,4
36,4,0.274733389661618,0.434527309218867,F3,2,4
36,5,0.367296460906886,0.476628078446942,F3,2,4
37,1,0.263722470783234,0.239771169208075,F1,2,4
37,2,0.527208993805037,0.296945916208334,F1,2,4
37,3,0.495908470587852,0.276795427377702,F1,2,4
37,4,0.564275669256126,0.293367374436039,F1,2,4
37,5,0.4852343489899,0.288604083602258,F1,2,4
38,1,0.627385928819605,0.677944910445836,M3,1,4
38,2,0.643266550260975,0.657875873953398,M3,1,4
38,3,0.539168931182319,0.583109870389393,M3,1,4
38,4,0.62750702178971,0.670550153658794,M3,1,4
38,5,0.827203663518649,0.82925020564941,M3,1,4
39,1,0.7489179077557,0.864330699925529,M1,1,5
39,2,0.67584288641277,0.841294401331641,M1,1,5
39,3,0.811403529335084,0.90712925994417,M1,1,5
39,4,0.82359520714923,0.866520466785918,M1,1,5
39,5,0.665191604293642,0.786055497011444,M1,1,5
40,1,0.403766853397792,0.382692128709458,F1,2,5
40,2,0.440528978961854,0.351559767831397,F1,2,5
40,3,0.417966338220724,0.413770662718557,F1,2,5
40,4,0.357974483542362,0.399718269249537,F1,2,5
40,5,0.368713444047022,0.400104654605202,F1,2,5
41,1,0.298496136327008,0.200611644814149,M2,1,5
41,2,0.270829777917904,0.266438448287081,M2,1,5
41,3,0.352490581106064,0.198635664843436,M2,1,5
41,4,0.31990810131746,0.248930392317408,M2,1,5
41,5,0.349453874513712,0.250110822820029,M2,1,5
42,1,0.694947177996176,0.75548833826769,F2,2,5
42,2,0.660571538157905,0.768582000219947,F2,2,5
42,3,0.663633499106085,0.712227140407742,F2,2,5
42,4,0.659758724868633,0.779628154691882,F2,2,5
42,5,0.71591208476013,0.808514655975374,F2,2,5
43,1,0.551290501692773,0.566145203653778,F1,2,5
43,2,0.484418981803223,0.466475369963632,F1,2,5
43,3,0.566707982804581,0.646297603333867,F1,2,5
43,4,0.59555534817858,0.647226698934889,F1,2,5
43,5,0.452726713398722,0.529447459898786,F1,2,5
44,1,0.682223279362918,0.623890038104145,M1,1,5
44,2,0.68738721744802,0.747031500376664,M1,1,5
44,3,0.73961690719186,0.718138589836643,M1,1,5
44,4,0.742288041726789,0.66810069002041,M1,1,5
44,5,0.73970854706395,0.733005096804099,M1,1,5
45,1,0.433515569322749,0.584872460741327,F2,2,5
45,2,0.532773434381902,0.547560673712123,F2,2,5
45,3,0.501424308946752,0.582609215708218,F2,2,5
45,4,0.410294991420037,0.54612470611567,F2,2,5
45,5,0.34596174156232,0.392384807423388,F2,2,5
46,1,0.778957872017686,0.854927140750375,M4,1,2
46,2,0.81026864873366,0.875761632706493,M4,1,2
46,3,0.779835247129119,0.901944547817386,M4,1,2
46,4,0.822647259775544,0.879832181289979,M4,1,2
46,5,0.865692631443639,0.872781602597851,M4,1,2
47,1,0.713418439158092,0.636848719829685,M4,1,2
47,2,0.693020364830225,0.630115801310029,M4,1,2
